level,N_label,N_used,c,FC,fC
median,"N∈[3,3]",3,2.3812860078412794,0.32489361882083634,5.002334518776358e-08
median,"N∈[3,3]",3,2.5701570733682497,0.3363383108082624,5.0031806135103865e-08
median,"N∈[3,3]",3,2.7111161378536273,0.34819195549199555,5.0539349224606895e-08
median,"N∈[3,3]",3,3.077387547440259,0.36049316838745493,4.899241611506348e-08
median,"N∈[3,3]",3,3.6958948931495565,0.37328675192361227,4.522242954413169e-08
median,"N∈[3,3]",3,4.044847776720906,0.3866251462034789,4.406406423679656e-08
median,"N∈[3,3]",3,4.397825809375774,0.400570342549055,4.301375250120554e-08
median,"N∈[3,3]",3,4.813398084258057,0.41519645235742686,4.159343935922766e-08
median,"N∈[3,3]",3,5.033948552806897,0.43059322555983925,4.197186505190971e-08
median,"N∈[3,3]",3,5.252453093018902,0.44687098198168373,4.2557894763684524e-08
median,"N∈[3,3]",3,5.7401877772330305,0.4641677101628756,4.104891708127606e-08
median,"N∈[3,3]",3,6.035758963875164,0.4826596122333294,4.142285740110882e-08
median,"N∈[3,3]",3,6.740808122423006,0.5025773653605674,3.867260922027515e-08
median,"N∈[3,3]",3,7.299406719051501,0.5242323655907163,3.768954798220788e-08
median,"N∈[3,3]",3,8.732824668378768,0.5480615436279348,3.246940720192498e-08
median,"N∈[3,3]",3,9.460235585101932,0.5747096297170099,3.3449611592554766e-08
median,"N∈[3,3]",3,10.575798790785706,0.6051953932502858,3.460634734910503e-08
median,"N∈[3,3]",3,11.27167971496234,0.6412962094650498,3.859018841039207e-08
median,"N∈[3,3]",3,12.034300953144383,0.6866433759618061,4.4556884456486294e-08
median,"N∈[3,3]",3,13.072977667572419,0.751288682680284,5.422015630486735e-08
median,"N∈[3,3]",3,21.867076309999998,1.0,0.0
high,"N∈[4,4]",4,-4.0416163288333316,0.00630946320970982,9.576068902351393e-09
high,"N∈[4,4]",4,-3.538410847364899,0.012741455098566168,1.1250416992682316e-08
high,"N∈[4,4]",4,-3.338409869970892,0.019301675802610885,1.207525517479383e-08
high,"N∈[4,4]",4,-3.153329368705567,0.025996253574703254,1.2884492295206986e-08
high,"N∈[4,4]",4,-2.5977309935875583,0.032831789866165306,1.4818770839450836e-08
high,"N∈[4,4]",4,-2.4349965007725842,0.03981541059581217,1.5621098682726528e-08
high,"N∈[4,4]",4,-1.6917996255445313,0.04695482466503853,1.8047793758153112e-08
high,"N∈[4,4]",4,-1.4360423142963126,0.05425839099682417,1.9131046944249465e-08
high,"N∈[4,4]",4,-1.1938213632512242,0.0617351956494635,2.0197113857608135e-08
high,"N∈[4,4]",4,-0.8271312556410697,0.06939514089790044,2.15638089718938e-08
high,"N∈[4,4]",4,-0.3256389089923068,0.07724904860719861,2.3167708846721e-08
high,"N∈[4,4]",4,-0.11732433647838142,0.08530878077130555,2.4170857484681142e-08
high,"N∈[4,4]",4,0.20236762902408698,0.09358738079296958,2.536810905804845e-08
high,"N∈[4,4]",4,0.6022234156475011,0.10209923998815162,2.662816150942132e-08
high,"N∈[4,4]",4,0.8329250795478337,0.11086029498053862,2.7655740365658597e-08
high,"N∈[4,4]",4,1.0264108508509926,0.11988826320660662,2.8665428404609007e-08
high,"N∈[4,4]",4,1.632359343919965,0.12920292581729753,2.9747957644229105e-08
high,"N∈[4,4]",4,1.969021096538682,0.13882647003663295,3.0609040855266596e-08
high,"N∈[4,4]",4,2.0562843643373934,0.1487839068077531,3.1627264099089243e-08
high,"N∈[4,4]",4,2.2393070564894826,0.1591035847462855,3.2616591661240425e-08
high,"N∈[4,4]",4,2.510733541213666,0.16981782866378592,3.3500557797704837e-08
high,"N∈[4,4]",4,2.6574849283512902,0.18096374118727998,3.461193140287101e-08
high,"N∈[4,4]",4,2.8290477200437825,0.19258422078815862,3.574509218428205e-08
high,"N∈[4,4]",4,3.0225314166490036,0.20472927123294937,3.689428363863766e-08
high,"N∈[4,4]",4,3.3304345791489327,0.21745770996335634,3.773328990976447e-08
high,"N∈[4,4]",4,3.63506168266774,0.23083943268654128,3.855203368794448e-08
high,"N∈[4,4]",4,3.7480111834469625,0.24495846965245083,4.025457034492489e-08
high,"N∈[4,4]",4,4.0156735963720696,0.25991719550771475,4.141226715601489e-08
high,"N∈[4,4]",4,4.2398391385050065,0.2758422657424173,4.2941557082311746e-08
high,"N∈[4,4]",4,5.627598636248118,0.2928932188134524,3.698935188389698e-08
high,"N∈[4,4]",4,6.290096852883327,0.31127534600157014,3.5420292758282743e-08
high,"N∈[4,4]",4,6.503730472729705,0.331259695023578,3.715129394329537e-08
high,"N∈[4,4]",4,7.328199350999731,0.3532156361915991,3.504991953433269e-08
high,"N∈[4,4]",4,7.940285609801264,0.37766702271152164,3.503016481047192e-08
high,"N∈[4,4]",4,8.927325651738183,0.4053964424986395,3.3571995025646675e-08
high,"N∈[4,4]",4,10.39084426914312,0.4376586748096509,3.117619291776506e-08
high,"N∈[4,4]",4,11.63793537317962,0.4766824303039473,3.202738633787149e-08
high,"N∈[4,4]",4,13.009810623750178,0.527129195498412,3.497298805074904e-08
high,"N∈[4,4]",4,15.065503982794583,0.6023646356164746,3.871093560365206e-08
high,"N∈[4,4]",4,20.89904068,1.0,0.0
